"Step","ruby-20231106_104248 - train_loss","ruby-20231106_104248 - train_loss__MIN","ruby-20231106_104248 - train_loss__MAX","php-20231102_160100 - train_loss","php-20231102_160100 - train_loss__MIN","php-20231102_160100 - train_loss__MAX","java-20231101_090754 - train_loss","java-20231101_090754 - train_loss__MIN","java-20231101_090754 - train_loss__MAX","go-20231031_120958 - train_loss","go-20231031_120958 - train_loss__MIN","go-20231031_120958 - train_loss__MAX","javascript-20231029_122314 - train_loss","javascript-20231029_122314 - train_loss__MIN","javascript-20231029_122314 - train_loss__MAX","python-20231028_204326 - train_loss","python-20231028_204326 - train_loss__MIN","python-20231028_204326 - train_loss__MAX"
"310","5.5557","5.5557","5.5557","6.0322","6.0322","6.0322","5.9082","5.9082","5.9082","4.4328","4.4328","4.4328","5.2656","5.2656","5.2656","5.3774","5.3774","5.3774"
"320","5.5246","5.5246","5.5246","5.9936","5.9936","5.9936","5.8719","5.8719","5.8719","4.4001","4.4001","4.4001","5.2291","5.2291","5.2291","5.3452","5.3452","5.3452"
"330","5.4952","5.4952","5.4952","5.957","5.957","5.957","5.8372","5.8372","5.8372","4.3672","4.3672","4.3672","5.1941","5.1941","5.1941","5.3132","5.3132","5.3132"
"340","5.4667","5.4667","5.4667","5.9205","5.9205","5.9205","5.8041","5.8041","5.8041","4.3363","4.3363","4.3363","5.1622","5.1622","5.1622","5.2828","5.2828","5.2828"
"350","5.4383","5.4383","5.4383","5.8844","5.8844","5.8844","5.7728","5.7728","5.7728","4.3086","4.3086","4.3086","5.1313","5.1313","5.1313","5.2543","5.2543","5.2543"
"360","5.4112","5.4112","5.4112","5.8502","5.8502","5.8502","5.7395","5.7395","5.7395","4.2814","4.2814","4.2814","5.1009","5.1009","5.1009","5.227","5.227","5.227"
"370","5.3859","5.3859","5.3859","5.8174","5.8174","5.8174","5.7106","5.7106","5.7106","4.2528","4.2528","4.2528","5.0705","5.0705","5.0705","5.2003","5.2003","5.2003"
"380","5.3603","5.3603","5.3603","5.7851","5.7851","5.7851","5.6826","5.6826","5.6826","3.2484","3.2484","3.2484","5.0424","5.0424","5.0424","5.1752","5.1752","5.1752"
"390","5.3355","5.3355","5.3355","5.7517","5.7517","5.7517","5.6529","5.6529","5.6529","3.1435","3.1435","3.1435","5.0146","5.0146","5.0146","5.1503","5.1503","5.1503"
"400","5.3119","5.3119","5.3119","5.7217","5.7217","5.7217","5.6256","5.6256","5.6256","3.1434","3.1434","3.1434","4.9862","4.9862","4.9862","5.1256","5.1256","5.1256"
"410","5.2899","5.2899","5.2899","5.6907","5.6907","5.6907","5.5985","5.5985","5.5985","3.1502","3.1502","3.1502","4.9623","4.9623","4.9623","5.1021","5.1021","5.1021"
"420","5.2651","5.2651","5.2651","5.6627","5.6627","5.6627","5.5743","5.5743","5.5743","3.1281","3.1281","3.1281","4.9353","4.9353","4.9353","5.0788","5.0788","5.0788"
"430","5.244","5.244","5.244","5.6338","5.6338","5.6338","5.5489","5.5489","5.5489","3.1388","3.1388","3.1388","4.9107","4.9107","4.9107","5.0573","5.0573","5.0573"
"440","5.224","5.224","5.224","5.6059","5.6059","5.6059","5.5243","5.5243","5.5243","3.1369","3.1369","3.1369","4.8854","4.8854","4.8854","5.0356","5.0356","5.0356"
"450","5.203","5.203","5.203","5.5791","5.5791","5.5791","5.5004","5.5004","5.5004","3.1274","3.1274","3.1274","4.8629","4.8629","4.8629","5.0139","5.0139","5.0139"
"460","5.1819","5.1819","5.1819","5.5531","5.5531","5.5531","5.4775","5.4775","5.4775","3.1219","3.1219","3.1219","4.8401","4.8401","4.8401","4.9934","4.9934","4.9934"
"470","5.1621","5.1621","5.1621","5.5274","5.5274","5.5274","5.4544","5.4544","5.4544","3.11","3.11","3.11","4.8182","4.8182","4.8182","4.972","4.972","4.972"
"480","5.1429","5.1429","5.1429","5.5034","5.5034","5.5034","5.4323","5.4323","5.4323","3.0997","3.0997","3.0997","4.7957","4.7957","4.7957","4.9511","4.9511","4.9511"
"490","5.1235","5.1235","5.1235","5.4792","5.4792","5.4792","5.4115","5.4115","5.4115","3.0906","3.0906","3.0906","4.7744","4.7744","4.7744","4.9324","4.9324","4.9324"
"500","5.1048","5.1048","5.1048","5.4544","5.4544","5.4544","5.39","5.39","5.39","3.0805","3.0805","3.0805","4.7543","4.7543","4.7543","4.913","4.913","4.913"
"510","5.0871","5.0871","5.0871","5.4312","5.4312","5.4312","5.3697","5.3697","5.3697","3.0759","3.0759","3.0759","4.7339","4.7339","4.7339","4.8941","4.8941","4.8941"
"520","5.0692","5.0692","5.0692","5.408","5.408","5.408","5.3497","5.3497","5.3497","3.0709","3.0709","3.0709","4.7142","4.7142","4.7142","4.8754","4.8754","4.8754"
"530","5.0519","5.0519","5.0519","5.3865","5.3865","5.3865","5.329","5.329","5.329","3.0611","3.0611","3.0611","4.6946","4.6946","4.6946","4.8572","4.8572","4.8572"
"540","5.0337","5.0337","5.0337","5.364","5.364","5.364","5.3094","5.3094","5.3094","3.054","3.054","3.054","4.6766","4.6766","4.6766","4.8398","4.8398","4.8398"
"550","5.0161","5.0161","5.0161","5.3424","5.3424","5.3424","5.2898","5.2898","5.2898","3.0448","3.0448","3.0448","4.6581","4.6581","4.6581","4.8227","4.8227","4.8227"
"560","4.9996","4.9996","4.9996","5.3216","5.3216","5.3216","5.271","5.271","5.271","3.0407","3.0407","3.0407","4.6406","4.6406","4.6406","4.8049","4.8049","4.8049"
"570","4.9821","4.9821","4.9821","5.3007","5.3007","5.3007","5.2531","5.2531","5.2531","3.0346","3.0346","3.0346","4.6221","4.6221","4.6221","4.7877","4.7877","4.7877"
"580","4.9659","4.9659","4.9659","5.2802","5.2802","5.2802","5.235","5.235","5.235","3.0312","3.0312","3.0312","4.6058","4.6058","4.6058","4.7717","4.7717","4.7717"
"590","4.9504","4.9504","4.9504","5.2606","5.2606","5.2606","5.2169","5.2169","5.2169","3.0271","3.0271","3.0271","4.5874","4.5874","4.5874","4.7557","4.7557","4.7557"
"600","4.9345","4.9345","4.9345","5.2402","5.2402","5.2402","5.2004","5.2004","5.2004","3.0247","3.0247","3.0247","4.5708","4.5708","4.5708","4.7397","4.7397","4.7397"
"610","4.9194","4.9194","4.9194","5.2206","5.2206","5.2206","5.184","5.184","5.184","3.0177","3.0177","3.0177","4.5545","4.5545","4.5545","4.7239","4.7239","4.7239"
"620","4.9042","4.9042","4.9042","5.2016","5.2016","5.2016","5.165","5.165","5.165","3.0142","3.0142","3.0142","4.5388","4.5388","4.5388","4.7089","4.7089","4.7089"
"630","4.89","4.89","4.89","5.1827","5.1827","5.1827","5.1483","5.1483","5.1483","3.0088","3.0088","3.0088","4.5232","4.5232","4.5232","4.6942","4.6942","4.6942"
"640","4.8757","4.8757","4.8757","5.1633","5.1633","5.1633","5.1332","5.1332","5.1332","3.0047","3.0047","3.0047","4.5081","4.5081","4.5081","4.6792","4.6792","4.6792"
"650","4.8616","4.8616","4.8616","5.1453","5.1453","5.1453","5.1183","5.1183","5.1183","3.0009","3.0009","3.0009","4.4923","4.4923","4.4923","4.6646","4.6646","4.6646"
"660","4.8475","4.8475","4.8475","5.1273","5.1273","5.1273","5.1022","5.1022","5.1022","2.9966","2.9966","2.9966","4.4772","4.4772","4.4772","4.651","4.651","4.651"
"670","4.8341","4.8341","4.8341","5.1096","5.1096","5.1096","5.0857","5.0857","5.0857","2.9914","2.9914","2.9914","4.4621","4.4621","4.4621","4.6371","4.6371","4.6371"
"680","4.8199","4.8199","4.8199","5.0935","5.0935","5.0935","5.0718","5.0718","5.0718","2.9878","2.9878","2.9878","4.448","4.448","4.448","4.6231","4.6231","4.6231"
"690","4.8066","4.8066","4.8066","5.0771","5.0771","5.0771","5.0564","5.0564","5.0564","2.9831","2.9831","2.9831","4.4332","4.4332","4.4332","4.6104","4.6104","4.6104"
"700","4.7932","4.7932","4.7932","5.0599","5.0599","5.0599","5.0413","5.0413","5.0413","2.9793","2.9793","2.9793","4.4194","4.4194","4.4194","4.5971","4.5971","4.5971"
"710","4.7799","4.7799","4.7799","5.0433","5.0433","5.0433","5.027","5.027","5.027","2.9758","2.9758","2.9758","4.4063","4.4063","4.4063","4.5841","4.5841","4.5841"
"720","4.7668","4.7668","4.7668","5.0272","5.0272","5.0272","5.0131","5.0131","5.0131","2.9701","2.9701","2.9701","4.3925","4.3925","4.3925","4.5704","4.5704","4.5704"
"730","4.7542","4.7542","4.7542","5.012","5.012","5.012","4.9987","4.9987","4.9987","2.9672","2.9672","2.9672","4.3783","4.3783","4.3783","4.5587","4.5587","4.5587"
"740","4.742","4.742","4.742","4.9953","4.9953","4.9953","4.9854","4.9854","4.9854","2.9628","2.9628","2.9628","4.3652","4.3652","4.3652","4.5458","4.5458","4.5458"
"750","4.7303","4.7303","4.7303","4.9801","4.9801","4.9801","4.9729","4.9729","4.9729","2.9575","2.9575","2.9575","4.3522","4.3522","4.3522","4.5327","4.5327","4.5327"
"760","4.7191","4.7191","4.7191","4.9649","4.9649","4.9649","4.9597","4.9597","4.9597","2.6636","2.6636","2.6636","4.3387","4.3387","4.3387","4.5215","4.5215","4.5215"
"770","4.7079","4.7079","4.7079","4.9501","4.9501","4.9501","4.9461","4.9461","4.9461","2.7198","2.7198","2.7198","4.3261","4.3261","4.3261","4.5092","4.5092","4.5092"
"780","4.6966","4.6966","4.6966","4.9352","4.9352","4.9352","4.9327","4.9327","4.9327","2.6937","2.6937","2.6937","4.3129","4.3129","4.3129","4.4972","4.4972","4.4972"
"790","4.6855","4.6855","4.6855","4.9205","4.9205","4.9205","4.9199","4.9199","4.9199","2.6962","2.6962","2.6962","4.3007","4.3007","4.3007","4.4851","4.4851","4.4851"
"800","4.6748","4.6748","4.6748","4.9055","4.9055","4.9055","4.9068","4.9068","4.9068","2.7021","2.7021","2.7021","4.2882","4.2882","4.2882","4.4731","4.4731","4.4731"
